account,p,old,account
delegationRecordPage,p,old,delegation record page
Domain,c,old,Internet Domain
DomainDatatype,d,old,Internet Domain Identifier
DomainDatatype-Encoded,d,old,Internet Domain Identifier (Encoded) 
Domain-Invalid,c,old,Invalid Internet Domain
Domain-Valid,c,old,Valid Internet Domain
Domain-Special,c,new,Special-Use Domain
filename,p,old,filename
Format,c,old,File Format
fragmentOf,p,old,fragment of
fragment,p,old,fragment
FragmentURI,c,old,URI with Fragment Identifier
host,p,old,host
IANAPage,p,old,IANA page
IANARef,p,old,IANA reference
identifiedBy,p,old,identified by URI
key,p,old,key
length,p,old,length
md5,p,old,md5 hash
Mimetype,c,old,MIME Type
MimetypeDatatype,d,old,MIME Type Identifier
noPortSpecified,,old,No Port Specified
pass,p,old,password
path,p,old,path
port,p,old,port
Query,c,old-deprecated,URI Query Part
QueryKey,c,old-deprecated,URI Query Key
QueryKVP,c,old-deprecated,URI Query Key-Value Pair
query,p,old,query
queryString,p,old-deprecated,query string
QueryValue,c,old-deprecated,URI Query Value
URIField,c,new,URI Field
URIFieldDatatype,d,new,URI Field Identifier
scheme,p,old,URI scheme
urnNamespace,p,new,URN namespace
wellknownSuffix,p,new,well-known URI suffix
sponsor,p,old,sponsor
subDom,p,old,subdomain
Suffix,c,old,Filename Suffix
SuffixDatatype,d,old,Filename Suffix Identifier
suffix,p,old,suffix
TopLevelDomain-CountryCode,c,old,Country Top-Level Domain
TopLevelDomain,c,old,Top-Level Domain
TopLevelDomain-Generic,c,old,Generic Top-Level Domain
TopLevelDomain-GenericRestricted,c,old,Restricted Generic Top-Level Domain
TopLevelDomain-Infrastructure,c,old,Infrastructure Top-Level Domain
TopLevelDomain-Sponsored,c,old,Sponsored Top-Level Domain
TopLevelDomain-Test,c,old,Test Top-Level Domain
URI,c,old,URI
URIDatatype,d,old-deprecated,URI Identifier
URIScheme,c,old,URI Scheme
URISchemeDatatype,d,old,URI Scheme Identifier
URI-WellKnown,c,new,Well-Known URI
URN,c,new,URN
URNNamespace,c,new,URN Namespace
URNNamespace-Formal,c,new,Formal URN Namespace
URNNamespace-Informal,c,new,Informal URN Namespace
URNNamespace-Experimental,c,new,Experimental URN Namespace
URNNamespaceDatatype,d,new,URN Namespace Identifier
WellKnownURISuffix,c,new,Well-Known URI Suffix
WellKnownURISuffixDatatype,d,new,Well-Known URI Suffix Identifier
URIPart,c,new,URI Part
URIPart-XPointer,c,new,XPointer
URIPart-Media,c,new,Media Fragment
URIPartDatatype,d,new,URI Part Identifier
URIPartDatatype-Decoded,d,new,URI Part Identifier (Percent-Decoded)
Port,c,new,Port
Protocol,c,new,Protocol
ProtocolDatatype,d,new,Protocol Identifier
Service,c,new,Named Service
ServiceDatatype,d,new,Named Service Identifier
Statement,c,old,Statement (reified)
object,p,old,object,object identified by
predicate,p,old,predicate,predicate identified by
subject,p,old,subject,subject identified by
trueAt,p,old,trueAt,statement true at
usedForFormat,p,old-deprecated,used for format,dbp:mime
usedForSuffix,p,old-deprecated,used for suffix,dbp:extension
user,p,old,user
value,p,old-deprecated,value
whoIsRecord,p,old,whois record
WhoisServer,c,old,Whois Server
hasWhoIsServer,p,old,whois server
RelativeURI,c,new,Relative URI Reference